,date,hs300,str_time,strategy,sz50,time_stamp,zz500
0,2017-03-23,0.0033,2017-03-23 09:43,0.0009,0.005,1490233439.0,0.0017
1,2017-03-23,0.0038,2017-03-23 09:44,0.0013,0.0055,1490233499.0,0.0021
2,2017-03-23,0.0041,2017-03-23 09:45,0.0014,0.0056,1490233559.0,0.0023
3,2017-03-23,0.0044,2017-03-23 09:46,0.0016,0.0061,1490233619.0,0.0026
4,2017-03-23,0.0045,2017-03-23 09:47,0.0019,0.0061,1490233679.0,0.0027
5,2017-03-23,0.0047,2017-03-23 10:03,0.0033,0.0064,1490234639.0,0.0036
6,2017-03-23,0.0046,2017-03-23 10:04,0.0035,0.0063,1490234699.0,0.0037
7,2017-03-23,0.0049,2017-03-23 10:06,0.0036,0.0066,1490234819.0,0.0038
8,2017-03-23,0.0049,2017-03-23 10:07,0.0035,0.0064,1490234879.0,0.0039
9,2017-03-23,0.0048,2017-03-23 10:08,0.0034,0.0063,1490234939.0,0.0039
10,2017-03-23,0.0047,2017-03-23 10:09,0.0032,0.0062,1490234999.0,0.0038
11,2017-03-23,0.0048,2017-03-23 10:10,0.0033,0.0064,1490235059.0,0.0039
12,2017-03-23,0.0048,2017-03-23 10:11,0.0033,0.0064,1490235119.0,0.0039
13,2017-03-23,0.0048,2017-03-23 10:12,0.0034,0.0064,1490235179.0,0.004
14,2017-03-23,0.0048,2017-03-23 10:13,0.0036,0.0062,1490235239.0,0.0041
15,2017-03-23,0.0048,2017-03-23 10:14,0.0036,0.0062,1490235299.0,0.0041
16,2017-03-23,0.005,2017-03-23 10:15,0.0036,0.0064,1490235359.0,0.0042
17,2017-03-23,0.0052,2017-03-23 10:16,0.0036,0.0065,1490235419.0,0.0043
18,2017-03-23,0.005,2017-03-23 10:17,0.0037,0.0063,1490235479.0,0.0043
19,2017-03-23,0.0049,2017-03-23 10:18,0.0035,0.0063,1490235539.0,0.0044
20,2017-03-23,0.0047,2017-03-23 10:19,0.0034,0.006,1490235599.0,0.0041
21,2017-03-23,0.0044,2017-03-23 10:20,0.0031,0.0057,1490235659.0,0.0038
22,2017-03-23,0.0045,2017-03-23 10:21,0.0029,0.0061,1490235719.0,0.0038
