徨貨待,貨待幡嶷,貨待燕��,峺方奐膿,IC,IF,IH
list_1_0.0506,0.0513560076779,-0.00425156187301,紗|隔,紗|隔,受,受
list_2_0.0498,0.0490987173714,-0.00786760960118,紗|隔,受,受,受
list_3_0.0471,0.0441000262411,-0.00755852225594,紗|隔,受,受,受
list_4_0.098,0.0783871031136,-0.0122548318324,受,受,受,受
list_5_0.0499,0.055275495697,-0.0142939549783,受,受,受,受
list_6_0.0903,0.0742569694429,-0.012030944728,受,受,受,受
list_7_0.0847,0.0958995327167,-0.0155189365474,受,受,受,受
list_8_0.0914,0.102319457722,-0.0125449939313,受,受,受,受
list_9_0.0867,0.0961153600071,-0.00970092470192,受,受,受,受
list_10_0.0423,0.0475435112498,-0.00904150712689,受,受,受,受
list_11_0.0418,0.0468871397683,-0.00904238734982,受,受,受,受
list_12_0.0462,0.0416886157076,-0.0143133683022,受,受,受,受
list_13_0.045,0.0487861845797,-0.0147634189068,受,受,受,受
list_14_0.0856,0.0786429844333,-0.00723793177767,紗|隔,受,受,受
list_15_0.0494,0.0559129068686,-0.01061403512,受,受,受,受
list_16_0.0411,0.0337299874036,-0.00763184439616,紗|隔,受,受,受
