子策略,策略权重,策略表现,指数增强,IC,IF,IH
list_1_0,0.09982653309,-0.0354666951267,减,减,减,减
list_2_0,0.104113793797,-0.0413169072457,减,减,减,减
list_3_0,0.0781550047946,-0.0615166509812,减,减,减,减
list_4_0,0.0981110601571,-0.0353127462144,减,减,减,减
list_5_0,0.117109011541,-0.00800779748449,加|持,加|持,加|持,减
list_6_0,0.00711552656252,-0.0205388294888,加|持,加|持,减,减
list_7_0,0.131333384029,-0.0067028313119,加|持,加|持,加|持,减
list_8_0,0.0806332063928,-0.0296508725791,减,减,减,减
list_9_0,0.100525380912,-0.035732401867,减,减,减,减
list_10_0,0.0751096243453,-0.042515207083,减,减,减,减
list_11_0,0.10796747438,-0.0389823601788,减,减,减,减
